商品编码,商品编码,库存,售价,利润,税费,高级,蓝钻,红钻,商品编号,库存,好获售价,佣金
zrhz1000059,zrmynf1000022,447,197.94,34.92,19.94,0.35,0.7,1.05,zrmynf1000022,447,186,9.22
HHKJ000100,HHKJ000209,124,43.37,2.8,4.37,0.03,0.06,0.09,HHKJ000209,124,45,1.73
HHKJ000364,zrhz1000018,11,177.92,21.62,17.92,0.22,0.44,0.66,zrhz1000018,11,178,8.57
,zrhz1000033,29,420.34,79.29,42.34,0.79,1.58,2.37,zrhz1000033,29,420,31.19
,HH00000026,2,286.9,56.95,28.9,0.57,1.14,1.71,HH00000026,2,287,22.53
,HH00000088,8,440.35,57.9,44.35,0.58,1.16,1.74,HH00000088,8,440,22.74
,HH00000317,14,86.74,15.8,8.74,0.16,0.32,0.48,HH00000317,14,87,6.34
,zrhz1000196,18,298.02,88.14,30.02,0.88,1.76,2.64,zrhz1000196,18,298,34.81
,zrrh1000072,50,987.46,190.9,99.46,1.91,3.82,5.73,zrrh1000072,50,1099,118.14
,zrmynf1000022,447,197.94,34.92,19.94,0.35,0.7,1.05,zrmynf1000022,447,186,9.22
,HHKJ000109,3,443.69,71.34,44.69,0.71,1.42,2.13,HHKJ000109,3,445,28.68
,HHKJ000209,124,43.37,2.8,4.37,0.03,0.06,0.09,HHKJ000209,124,45,1.73
,,,,,,,,,zrmyfs100020,100,39,1.41
,,,,,,,,,zrmynf1000087,50,258,4.71
,,,,,,,,,zrmyznk1000030,23,228,4.36
,,,,,,,,,HH00000302,50,88,2.85
,,,,,,,,,HH00001344,50,398,5.15
